path,sha256,size_bytes,format,title,subject,language,year
./.DS_Store,8a6ee1c885bf78b61a3be87f87962589372188c9aa2ab35a00a424269e73d65f,6148,.DS_Store,,,,,
./irish/g100_cruinneas_na_gaeilge/a1_gf100_aguis_n_a_2022_23_2.pdf,3a686c5842b642f9d5eba3f816a970180ca8adc79366ff995e97c132b9e07453,1060789,a1_gf100_aguis_n_a_2022_23_2.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/01_gf100_aonad_1_2022_23_2.pdf,d6ad2fdcbcd40e05b0d5e9440524bd0cd937b9c01538cee7285912bd9e946a3e,471271,01_gf100_aonad_1_2022_23_2.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/00_gf100_r_amhra_2022_23_2.pdf,929801d9ca20ddc5a9d8a075f78603d8da894b4582dfb722741d26d28589fe3b,381867,00_gf100_r_amhra_2022_23_2.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/00_gf100_r_amhra_2022_23.pdf,929801d9ca20ddc5a9d8a075f78603d8da894b4582dfb722741d26d28589fe3b,381867,00_gf100_r_amhra_2022_23.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/a1_gf100_aguis_n_a_2022_23.pdf,3a686c5842b642f9d5eba3f816a970180ca8adc79366ff995e97c132b9e07453,1060789,a1_gf100_aguis_n_a_2022_23.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/b1_gf100_aguis_n_b_2022_23.pdf,dec3cdc34548e6894ce02310840db98a145a34c6e423231247be785f0bdce53d,248446,b1_gf100_aguis_n_b_2022_23.pdf,,,,,
./irish/g100_cruinneas_na_gaeilge/b1_gf100_aguis_n_b_2022_23_2.pdf,dec3cdc34548e6894ce02310840db98a145a34c6e423231247be785f0bdce53d,248446,b1_gf100_aguis_n_b_2022_23_2.pdf,,,,,
./irish/ga81010_éisteach_agus_labhairt_c1/scrúdúcainte/scr_duithe_cainte_sceideal.docx,d673acc0c0d70d36119a03243cc058bdc6c0f56d8be113db6dfcd380b5964c4c,14649,scr_duithe_cainte_sceideal.docx,,,,,
./irish/ga81010_éisteach_agus_labhairt_c1/scrúdúcainte/ullmh_ch_in_don_scr_d_cainte.pages,e6cc341a7167069e480bc9ff99696b6bd72bdabb097ba6f4eb0434ed1512ede3,167228,ullmh_ch_in_don_scr_d_cainte.pages,,,,,
./irish/ga81010_éisteach_agus_labhairt_c1/scrúdúcainte/cur_i_l_thair.pdf,bf85ad55240bce936f8de15b0794b1e63b1ad6fff3057b19ea95c1e33760a30f,11152317,cur_i_l_thair.pdf,,,,,
./irish/ga81010_éisteach_agus_labhairt_c1/scrúdúcainte/c1_bliain_1_scr_duithe_cainte.docx,a19f75a5b5cf40a13ddcddfbf7ba49e689d8f4a6d0af1c6f577560ddeaa7b551,21674,c1_bliain_1_scr_duithe_cainte.docx,,,,,
./irish/found_in_downloads/sa_ocht_na_gaeilge_agus_na_gaeltachta_2020.docx,4a8278a7951778e3ff95dc17d58531b540bff07ed5b77e4ca0f0a6d67c535c39,20480,sa_ocht_na_gaeilge_agus_na_gaeltachta_2020.docx,,,,,
./irish/found_in_downloads/meas_n_l.docx,34ef14a2baa65125c0c19ebbba01d03d34a497351344a384fe9fb9fae807c852,696992,meas_n_l.docx,,,,,
./irish/found_in_downloads/meas_n_1.docx,87dad4e2c2e9dcf9ffae051e3bc4bddd4bb89650392fcbd0f06e7504bddaeee1,14756,meas_n_1.docx,,,,,
./irish/found_in_downloads/aonad_9.docx,2f45e67736eafd634fc60e262bee333eb4e60cc2f847d5b7ec768631c05d1c8d,1417920,aonad_9.docx,,,,,
./irish/found_in_downloads/meas_n_1_p.docx,96be91707bb43fdc732d4f27ac190f6f51ee7458b81938b428cfe6f4c98c849d,812863,meas_n_1_p.docx,,,,,
./irish/found_in_downloads/aonad_6_c1_1.docx,519765ebbe954d7725b583e0bba6e58b938d8bba6900af064e28934a65a340b5,1059304,aonad_6_c1_1.docx,,,,,
./irish/found_in_downloads/sa_ocht_na_gaeilge_agus_na_gaeltachta.docx,1df46c626ed1c1e3a73422c87cfa8446b5b6f7135723759dd593d9dce271286e,37999,sa_ocht_na_gaeilge_agus_na_gaeltachta.docx,,,,,
./irish/found_in_downloads/aonad_7_c1.docx,e86baa257ba24b1934232fe1d2b019932eec42d9c8c691e44337f98e5e5d41de,1111635,aonad_7_c1.docx,,,,,
./irish/found_in_downloads/aonad_10.docx,0f414250713f5c1f00cd91a81c07715280bc42676fd09f976e563aac3b263a34,238823,aonad_10.docx,,,,,
./irish/lámhleabhar_c1_bl2_2020_2021_2.pdf,e2db55c1fa54715230410092dad74775345d1b1697c8a578f69e73d618f5a989,8195184,lámhleabhar_c1_bl2_2020_2021_2.pdf,,,,,
./irish/léirmheas_cian_mac_liatháin.pdf,de143ec3285bbaf5e952fe8bb5fdc8f5e182dacb5c52b9a98562708730417c33,83837,léirmheas_cian_mac_liatháin.pdf,,,,,
./irish/tortha_ghaeilge.pdf,9cf8a0d5e97cdff0d47df69aa52ff03c6adff4ec8f632f5075516d3984463e05,49487,tortha_ghaeilge.pdf,,,,,
./irish/aistriúchán_c1_bliain_2_meitheamh_2021.docx,045b1d1656f8da29c0392eda9c3593e126eb1ecf4af7e6e64229a17de102da85,21916,aistriúchán_c1_bliain_2_meitheamh_2021.docx,,,,,
./irish/aiste_saíocht_cian.pdf,59c67fe25f84743496c99bd7662984b94742cbedac4226af1089430157627749,159463,aiste_saíocht_cian.pdf,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_14/obair_bhaile_14.docx,86fd9b148506b82265e453fe5e7ed845f72a43369d397d568bf43a6b26ed8440,15080,obair_bhaile_14.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_14/aonad_14_1.docx,717f0d40ef8fd0022cefd4924523cfaddd0fa0e35bc0ed6f1d19f2e16097f142,240601,aonad_14_1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_14/aonad_14_1.pdf,9171cc6ad78ec8a1c6ea7ef3082cd83ffefe115408d5472f55fdbcaed23ed403,532025,aonad_14_1.pdf,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_13/aonad_13_1.docx,e897f03ae0110a85f9a539eafd46eb406aa45c7aa875c6311d7dd267acb35b2f,306200,aonad_13_1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_13/aonad_13.pdf,acb8f6c1457bfa282a9a60484a718b6074c1d1041f8e97b45ce3e8b36fbb26af,1235430,aonad_13.pdf,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_12/aonad_12.docx,82151e72a9a01c9b2c2693e79d06fdfe4e8d729b24a6e4f80e01844151ac1c60,606980,aonad_12.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_15/obair_bhaile_15.docx,3b82a0f2e4cda6900896d991ad2c78122a3e190a84406cf9c5cfd2781be8f22f,13323,obair_bhaile_15.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/freagra_ar_cheartaigh_na_bot_in_at_sa_l_mhleabhar.docx,46998096d52ddfab76da0f3f7a63dc30c3a849a5b07bd59f936cbe1f56acdaf9,21159,freagra_ar_cheartaigh_na_bot_in_at_sa_l_mhleabhar.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_5/obair_bhaile_5.docx,4cac34b058f76fe1cf1515199941469bac9cd20c7a14103317c182b5146cddba,63486,obair_bhaile_5.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_5/aonad_5_c1.docx,7c6b6d5eb668c276278003c913cdf9af71fffa5f9d45123572fde0f083f91a5d,1316817,aonad_5_c1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_2/obair_bhaile_2.docx,eb82a246ca6f4080bd8516769653ce64aa9da266b635c509a152989a491d97b4,21924,obair_bhaile_2.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_2/aonad_2_c1.docx,6de195b60113a90ebfb901bd80eab1c6852cbe7163615a012e9e58ad33a5f305,620061,aonad_2_c1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_4/obair_bhaile_4.docx,3eee5a7c9febc38da795b60cf7120f61fa1832218f1fc1e301f22227216f9040,15095,obair_bhaile_4.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_4/aonad_4_c1.docx,5ed870d80f4b615c7cc847574af4842779eee7ed07f5051ff2988f1573be5ac8,491408,aonad_4_c1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_17/aonad_17.pdf,20aeefb0bc13a1a0de4617072245e19d9061fefe50650f6011296cfbcbd6aba3,2411140,aonad_17.pdf,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_17/aonad_17.docx,02c07deac4d3800b03841084a71488a0a5835a3a023922c68a8f5c981f42d102,551125,aonad_17.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_17/obair_bhaile_17.docx,872a99fd1738208596b1240cf5eca633d256c8fa2f589d23c3b041f51dbdf8ba,13308,obair_bhaile_17.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_19/obair_bhaile_19.docx,6efec8416ac423057fb313638c93805633e27e33de1976db25e6dbee557d446b,13373,obair_bhaile_19.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_11/c_ras_harvard_1.docx,3bb4e8456f0dd86ebf482a6c3de6caf5b7fb74ad72ae8a49ed9a8087a196f885,67670,c_ras_harvard_1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_11/aonad_11_1_1.docx,f8be40073567a56121efab9d3ae835ae47dd25d26f6fc5ea2a8fdcd82038b82e,631749,aonad_11_1_1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_1/aonad_1_c1.docx,89b3c2840a2a82eb475570a0b6c0b77df596ed467788e167de867b62c9403add,1118960,aonad_1_c1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_1/obair_bhaile_1.docx,67190ce3a5518e197cdee6dff2bd68133e6c51923415ca1dcaa3b2c18211d229,13318,obair_bhaile_1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_6/aonad_6_c1.docx,5c6296b39e1f402e5c01d32ab57b5d50443422738add716cce8d11189892b75a,1104744,aonad_6_c1.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_6/obair_bhaile_6.docx,31a4ed44e17e522009c2ac1f258ae71f0dd49c37eee2ca15cd2405c60cbd4901,86753,obair_bhaile_6.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_7/obair_bhaile_7.docx,6837185eb395334f1c55ef3be4f3ae49d63842e02c895d068f19d7ea54531ca3,15723,obair_bhaile_7.docx,,,,,
./irish/ga201_ceart_na_gaeilge_2/seachtain_7/aonad_7_c1.docx,dcecc9544ba369c2d8afeffffc5177dcb2c0781006a55c7ce2fdd270dba59d5f,1110129,aonad_7_c1.docx,,,,,
./irish/ga114_saíocht_na_gaeilge/bileog_oibre_an_ghaeilge_an_ghaeltacht_agus_plean_il_teanga.docx,e4b4e262b457e4a50a050166e6568a87370e3155ca757b7c74d56928dd585d8f,1459260,bileog_oibre_an_ghaeilge_an_ghaeltacht_agus_plean_il_teanga.docx,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/t_stal_na_gaeilge_2013.docx,93fc999c7ed425cdb699ce200bd72d84262d7cfc1736124e736b96b687d9b566,117147,t_stal_na_gaeilge_2013.docx,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/mp3anna/20161019_rteraidion_adhmhaidin_todhcha_na_gaeltachta.mp3,778b56c4aa942b064723ffca73f0317420df9a3f7b3b38acbc53be8902fc5fa5,5828826,20161019_rteraidion_adhmhaidin_todhcha_na_gaeltachta.mp3,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/mp3anna/20131205_rteraidion_adhmhaidin_conch_r_giollag_in.mp3,7f0dfe92bd815cb27c702bf43b08924b650a6af7d06cdaa504577235a8e78a0d,6876330,20131205_rteraidion_adhmhaidin_conch_r_giollag_in.mp3,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/f_se_in/gaeltacht_2020_fosta_ocht_tg4_an_honest_account_of_modern_gaeltacht_life.mp4,653b060d4961795acba658199aaa5f0dbf2e75ebcde3c50747c9a115532e7ef3,5677699,gaeltacht_2020_fosta_ocht_tg4_an_honest_account_of_modern_gaeltacht_life.mp4,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/f_se_in/c_ard_an_gaeltacht_dar_s_na_gaeltachta.mp4,1607a1c9d7c71c7bcf494c922e4cab75663a7715a61407b0d1bc6e18fb7fa2e0,10267674,c_ard_an_gaeltacht_dar_s_na_gaeltachta.mp4,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/f_se_in/t_stal_na_gaeilge_2013_ag_t_g_il_clainne_tr_ghaeilge.mp4,3084f7d22a2c56c6cb9d7337834488ae0146555f33248118082a5ccfccd21fa3,36850151,t_stal_na_gaeilge_2013_ag_t_g_il_clainne_tr_ghaeilge.mp4,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/sochtheangeola_ocht/linguistic_study_of_the_use_of_irish_in_the_gaeltacht.pdf,ac0f734b828338bbd7b2d331a90ef5dda10a3bcf2d8b29e5e997d45aacc72230,692732,linguistic_study_of_the_use_of_irish_in_the_gaeltacht.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/na_s_chontae/c_ip_de_children_in_irish_medium_education_2001_2002_to_2019_2020.xlsx,53f806032c5e9c808a5ba7dfe79e5b41fd366225cb1a6209155758549ecc0029,19609,c_ip_de_children_in_irish_medium_education_2001_2002_to_2019_2020.xlsx,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/na_s_chontae/2011_census_results_key_statistics_northern_ireland_report_11_december_2012.pdf,9aec6b7017c34107ef4121aeadcde76b9827b1be330fc1d3281421f49f7b9799,382888,2011_census_results_key_statistics_northern_ireland_report_11_december_2012.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/plean_il_teanga/strait_is_20_bliain_leagan_gaeilge.pdf,bffe4996ea7b1020d91bbbce9cce8cdf914da26636c9fafadbb4972dea871500,156598,strait_is_20_bliain_leagan_gaeilge.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/plean_il_teanga/treoirl_nte_plean_la_teanga.pdf,cdeeaacf26878c36db402367ba4ef777dde281b482d38dc09259483ba0e48e2d,5597018,treoirl_nte_plean_la_teanga.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/dearcadh_an_phobail/the_irish_people_report_on_the_attitudes_towards_competence_in_and_use_of_the_irish_language_in_the_republic_of_ireland_in_2007_08.pdf,5706f938929a0d31e45dbc2963a1da2f60569f9aa79d78b855132022cfe6e78f,1474202,the_irish_people_report_on_the_attitudes_towards_competence_in_and_use_of_the_irish_language_in_the_republic_of_ireland_in_2007_08.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/pr_if_l_shocheacnama_och/gaeltacht_area_profile_english_online_0.pdf,68df96c2aaa0c2a3e6712e07e51b19f3f917494dd45b48c889dff321b003e5c8,30988530,gaeltacht_area_profile_english_online_0.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/pr_if_l_shocheacnama_och/gaeltacht_area_profile_irish_online.pdf,13f81586eb16deb17e6ae4ac2ce3953611932aef1490981b2ded02118ea73e39,31432770,gaeltacht_area_profile_irish_online.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/ag_t_g_il_clainne_le_gaeilge/ag_t_g_il_clainne_le_gaeilge.pdf,d83eae6e1231d740a7ac50dbe9ef7cf988ea2eee8a9efe81982d78df1899b673,2399214,ag_t_g_il_clainne_le_gaeilge.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/tuairisc_ar_an_ghaeilge_sa_ch_ras_oideachais_i_b_pnah_samhain_2017.pdf,0a4bcb896c24c7c86367096794062718d69951ecaeaf20fd72697f508ed9858d,521060,tuairisc_ar_an_ghaeilge_sa_ch_ras_oideachais_i_b_pnah_samhain_2017.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/daon_ireamh/profile_9_irish_speakers_combined_document.pdf,a5a87d236c9666dd07c8f6d3b1d614dc3ae553ba87d80163f4a35c53712b3eb2,572056,profile_9_irish_speakers_combined_document.pdf,,,,,
./irish/ga114_saíocht_na_gaeilge/bhar_breise_don_cheardlann/pd_fanna/daon_ireamh/caibidil_7_an_ghaeilge_agus_an_ghaeltacht_nuashonr.pdf,3d57aaaa6e3a48d69001896d92b63a1997b91ce8a45430235de2ca7e87f1f6e5,265630,caibidil_7_an_ghaeilge_agus_an_ghaeltacht_nuashonr.pdf,,,,,
