path,sha256,size_bytes,format,title,subject,language,year
./update-to-the-comprehensive-linguistic-study-on-the-usage-of-irish-in-the-gaeltacht-20.pdf,f7ccfa80ec1153e49bd516d2667d359a8f4dfbad38d0fde24a43d8b6f814b8f7,10559768,update-to-the-comprehensive-linguistic-study-on-the-usage-of-irish-in-the-gaeltacht-20.pdf,,,,,
./241755_e82c256a-6f47-4ddb-8ce6-ff81df208bb1-1.pdf,b1ffeaca9d18db03ce60fc92ff9160523ed9c18c3dc59fc4aa88d6e09414505b,5363233,241755_e82c256a-6f47-4ddb-8ce6-ff81df208bb1-1.pdf,,,,,
./263826_e7b1c18f-cef2-4235-8d2e-26c6681507e4.pdf,9cd3c8a1d64e79d7b1ea87571f854fa3bdd988d3e3ae886100b87290ee1f2357,645108,263826_e7b1c18f-cef2-4235-8d2e-26c6681507e4.pdf,,,,,
./2511.06876v1.pdf,b90f69496d826d6b1ef2592261705b118bf294fb1b0026a733be09d1f46a1fea,20799978,2511.06876v1.pdf,,,,,
./2510.20957v1.pdf,fb482892b645bf583c1e5ec47530bf07da9ea895fe1e7cae647582e4c61ec9ab,2840611,2510.20957v1.pdf,,,,,
./2510.17652v1.pdf,eaa4e9f76cae82de327d788f2856d84ac74bada4d546d1be0997950be0a1f9e1,347744,2510.17652v1.pdf,,,,,
./_.pdf,b6d1f1eaefba2c44cd9851cdc7b79fdd9a48f419ce1eec73d7e894dbb3339a97,293398,_.pdf,,,,,
./MANIFEST.tsv,50b6826dbdd73d459632d08db001654809e4a05c7dc43ccbc0f3ea7abded9bc7,51801,MANIFEST.tsv,,,,,
./Linguistic-Study-of-the-Use-of-Irish-in-the-Gaeltacht.pdf,13b22e06bb08d0e6015ddeb0e9f610ea8e7dbd25439259cf31b8a1bd674e9bcd,1650466,Linguistic-Study-of-the-Use-of-Irish-in-the-Gaeltacht.pdf,,,,,
./Irish-BLiMP_A_Linguistic_Benchmark_for_Evaluating_.pdf,fb482892b645bf583c1e5ec47530bf07da9ea895fe1e7cae647582e4c61ec9ab,2840611,Irish-BLiMP_A_Linguistic_Benchmark_for_Evaluating_.pdf,,,,,
./W14-46.pdf,a60577c2ee8ccb77e2833e43f05d5a57270f8fc9e41f3e48273a738b2d266bca,2396033,W14-46.pdf,,,,,
./explainable20.pdf,0ee10e66d480926fdcfd3e1a7abd5811c0860ee58ca68042b6cf43d22523621b,1450009,explainable20.pdf,,,,,
./gramadoirnua.pdf,5df054a1e38514aac9205567098882d80ace0f71232d9deae29d0c737e02ca37,1301944,gramadoirnua.pdf,,,,,
./2025.cltw-1.5.pdf,54cd4d4b2cfe966311de7be02a81162b7ccf3dd489ec1aa401a5f33055fd8ec9,190556,2025.cltw-1.5.pdf,,,,,
./eire2030.pdf,dce1c0c33ba21cc49b89f1391b26422641c42cedf53262b07dfc6f93985a3f2e,206891,eire2030.pdf,,,,,
./W16-6508.pdf,3d9f2e53d9a45d18aac41657e489db05458d3ef30244ef9970d406c9321b8cae,1899551,W16-6508.pdf,,,,,
./oideachas/ict_cencus2013_summaryreport.pdf,70c0c211dbfa91c654a003679568d18317c2d6d175dd701f8171cdb2674f4830,2003597,ict_cencus2013_summaryreport.pdf,,,,,
./oideachas/Understanding_and_evaluating_effective_technology_integration_in_the_classroom.pdf,3f2d61fba92ccbedc293e734bfb84b2df60b42ed06b06a4153cc5a736ebde60f,1047843,Understanding_and_evaluating_effective_technology_integration_in_the_classroom.pdf,,,,,
./oideachas/digital-strategy-action-plan-2019.pdf,744346ac7648c46e7f031bf6bf85d1731875488686763c0f580a6ee4a29844b6,1363135,digital-strategy-action-plan-2019.pdf,,,,,
./oideachas/DLF-Trial-Evaluation-Final-Report-Summary-Oct-18.pdf,0ca0425979c13c073f5c4ad1ebc1864a7463c5f35250b3aafd11d10881d261cb,1034592,DLF-Trial-Evaluation-Final-Report-Summary-Oct-18.pdf,,,,,
./oideachas/DLF-Trial-Evaluation-Final-Report-Oct-18.pdf,4ff18b7592d9d5a0b4da4118c451418a976e1e1daee4349c556e27b6736d92bd,8049717,DLF-Trial-Evaluation-Final-Report-Oct-18.pdf,,,,,
./oideachas/ICT_in_initial_teacher_training.pdf,dc9272be131efe2b69467763e4a3ff83fb1a171a0cfe849769fbdb847593bce3,190044,ICT_in_initial_teacher_training.pdf,,,,,
